created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2026-02-28T16:08:11+00:00,1,137.71449,4095,Normal,,,,
2026-02-28T16:08:29+00:00,2,137.25145,4095,Normal,,,,
2026-02-28T16:08:46+00:00,3,137.25145,4095,Normal,,,,
2026-02-28T16:09:04+00:00,4,137.4744,4095,Normal,,,,
2026-02-28T16:09:21+00:00,5,137.90315,4095,Normal,,,,
2026-02-28T16:09:39+00:00,6,137.886,4095,Normal,,,,
2026-02-28T16:09:56+00:00,7,137.3029,4095,Normal,,,,
2026-02-28T16:10:14+00:00,8,137.543,4095,Normal,,,,
2026-02-28T16:10:32+00:00,9,137.1657,4095,Normal,,,,
2026-02-28T16:10:50+00:00,10,137.6116,4095,Normal,,,,
2026-02-28T16:11:08+00:00,11,137.21715,4095,Normal,,,,
2026-02-28T16:11:25+00:00,12,137.18285,4095,Normal,,,,
2026-02-28T16:11:43+00:00,13,137.6116,4095,Normal,,,,
2026-02-28T16:12:01+00:00,14,138.0575,4095,Normal,,,,
2026-02-28T16:12:19+00:00,15,137.25145,4095,Normal,,,,
2026-02-28T16:12:37+00:00,16,137.2343,4095,Normal,,,,
2026-02-28T16:12:55+00:00,17,137.62875,4095,Normal,,,,
2026-02-28T16:13:13+00:00,18,137.68021,4095,Normal,,,,
2026-02-28T16:13:30+00:00,19,137.5773,4095,Normal,,,,
2026-02-28T16:13:49+00:00,20,137.62875,4095,Normal,,,,
2026-02-28T16:14:06+00:00,21,137.6459,4095,Normal,,,,
2026-02-28T16:14:24+00:00,22,137.6116,4095,Normal,,,,
2026-02-28T16:14:42+00:00,23,137.5773,4095,Normal,,,,
2026-02-28T16:15:12+00:00,24,137.2343,4095,Normal,,,,
2026-02-28T16:15:32+00:00,25,137.74879,4095,Normal,,,,
2026-02-28T16:15:53+00:00,26,137.25145,4095,Normal,,,,
2026-02-28T16:16:13+00:00,27,137.8174,4095,Normal,,,,
2026-02-28T16:16:33+00:00,28,137.83455,4095,Normal,,,,
2026-02-28T16:16:54+00:00,29,137.80025,4095,Normal,,,,
2026-02-28T16:17:14+00:00,30,138.0918,4095,Normal,,,,
2026-02-28T16:17:35+00:00,31,137.59445,4095,Normal,,,,
2026-02-28T16:18:01+00:00,32,137.97176,4095,Normal,,,,
2026-02-28T16:18:22+00:00,33,137.97176,4095,Normal,,,,
2026-02-28T16:18:42+00:00,34,138.1261,4095,Normal,,,,
2026-02-28T16:19:03+00:00,35,138.96645,2083,Normal,,,,
2026-02-28T16:19:24+00:00,36,137.25145,1750,Rain-Normal,,,,
2026-02-28T16:19:43+00:00,37,138.0918,1840,Rain-Normal,,,,
2026-02-28T16:20:04+00:00,38,138.34904,1858,Rain-Normal,,,,
2026-02-28T16:20:31+00:00,39,138.76065,1745,Rain-Normal,,,,
2026-02-28T16:20:48+00:00,40,5.1793,1718,ALERT,,,,
2026-02-28T16:21:06+00:00,41,5.1793,1433,ALERT,,,,
2026-02-28T16:21:24+00:00,42,16.75555,1338,WARNING,,,,
2026-02-28T16:21:42+00:00,43,15.435,1483,WARNING,,,,
2026-02-28T16:22:00+00:00,44,137.0285,1504,Rain-Normal,,,,
2026-02-28T16:22:18+00:00,45,216.9818,1453,Rain-Normal,,,,
2026-02-28T16:22:36+00:00,46,4.54475,1193,ALERT,,,,
2026-02-28T16:22:54+00:00,47,216.48445,1224,Rain-Normal,,,,
2026-02-28T16:23:11+00:00,48,13.4113,1575,WARNING,,,,
2026-02-28T16:23:29+00:00,49,7.4088,1663,ALERT,,,,
2026-02-28T16:23:47+00:00,50,9.38105,1694,ALERT,,,,
2026-02-28T16:24:05+00:00,51,137.62875,3053,Normal,,,,
2026-02-28T16:24:23+00:00,52,137.93745,3061,Normal,,,,
2026-02-28T16:25:00+00:00,53,137.01135,3447,Normal,,,,
2026-02-28T16:25:18+00:00,54,138.7435,3621,Normal,,,,
2026-02-28T16:25:36+00:00,55,137.86885,3659,Normal,,,,
2026-02-28T16:25:54+00:00,56,137.90315,3750,Normal,,,,
2026-02-28T16:26:12+00:00,57,5.1793,3780,Normal,,,,
2026-02-28T16:26:29+00:00,58,6.12255,3865,Normal,,,,
2026-02-28T16:26:47+00:00,59,137.13139,1567,Rain-Normal,,,,
2026-02-28T16:27:06+00:00,60,37.044,1636,Rain-Normal,,,,
2026-02-28T16:27:23+00:00,61,16.4297,1599,WARNING,,,,
2026-02-28T16:27:41+00:00,62,15.092,1744,WARNING,,,,
2026-02-28T16:27:59+00:00,63,6.4484,1689,ALERT,,,,
2026-02-28T16:28:17+00:00,64,8.7122,1454,ALERT,,,,
2026-02-28T16:28:35+00:00,65,20.3056,2321,Normal,,,,
2026-02-28T16:28:52+00:00,66,29.82385,2352,Normal,,,,
2026-02-28T16:29:10+00:00,67,12.39945,2382,Normal,,,,
2026-02-28T16:29:28+00:00,68,15.435,1347,WARNING,,,,
2026-02-28T16:29:46+00:00,69,16.4297,1584,WARNING,,,,
2026-02-28T16:30:04+00:00,70,56.81795,1744,Rain-Normal,,,,
2026-02-28T16:30:22+00:00,71,16.75555,1574,WARNING,,,,
2026-02-28T16:30:40+00:00,72,13.4113,1502,WARNING,,,,
2026-02-28T16:31:20+00:00,73,16.4297,1535,WARNING,,,,
2026-02-28T16:31:38+00:00,74,16.41255,1714,WARNING,,,,
2026-02-28T16:31:56+00:00,75,16.75555,1745,WARNING,,,,
2026-02-28T16:32:14+00:00,76,15.778,1774,WARNING,,,,
2026-02-28T16:32:31+00:00,77,18.0418,1753,WARNING,,,,
2026-02-28T16:32:49+00:00,78,16.4297,1713,WARNING,,,,
2026-02-28T16:33:07+00:00,79,34.0256,1243,Rain-Normal,,,,
2026-02-28T16:33:25+00:00,80,29.8067,1563,Rain-Normal,,,,
2026-02-28T16:33:42+00:00,81,31.40165,1700,Rain-Normal,,,,
2026-02-28T16:34:00+00:00,82,29.5666,1744,Rain-Normal,,,,
2026-02-28T16:34:18+00:00,83,34.8145,1734,Rain-Normal,,,,
2026-02-28T16:34:36+00:00,84,24.02715,1694,Rain-Normal,,,,
2026-02-28T16:34:54+00:00,85,26.6511,1738,Rain-Normal,,,,
2026-02-28T16:35:11+00:00,86,24.9018,1707,Rain-Normal,,,,
2026-02-28T16:35:29+00:00,87,16.4297,1737,WARNING,,,,
2026-02-28T16:35:47+00:00,88,16.10385,1715,WARNING,,,,
2026-02-28T16:36:05+00:00,89,12.4166,1742,WARNING,,,,
2026-02-28T16:36:22+00:00,90,10.3929,1731,WARNING,,,,
2026-02-28T16:36:40+00:00,91,8.3692,1714,ALERT,,,,
2026-02-28T16:36:58+00:00,92,205.85146,1589,Rain-Normal,,,,
2026-02-28T16:37:16+00:00,93,229.31265,1129,Rain-Normal,,,,
2026-02-28T16:37:35+00:00,94,316.38321,1259,Rain-Normal,,,,
